Type, Action phrase, Positive statement, Irrelevant statement, Negative statement (the @ symbol is the placeholder of the data type)
Phone state,Collect Phone state, We will @., It does not mention whether to @, We will not @.
Phone state,Read Phone state, We will @., It does not mention whether to @, We will not @.
Phone state,Request Phone state, We will @., It does not mention whether to @, We will not @.
Phone state,Share Phone state, We will @., It does not mention whether to @, We will not @.
Carrier info,Collect Carrier info, We will @., It does not mention whether to @, We will not @.
Carrier info,Read Carrier info, We will @., It does not mention whether to @, We will not @.
Carrier info,Request Carrier info, We will @., It does not mention whether to @, We will not @.
Carrier info,Share Carrier info, We will @., It does not mention whether to @, We will not @.
Cellular,Collect Cellular function, We will @., It does not mention whether to @, We will not @.
Cellular,Read Cellular function, We will @., It does not mention whether to @, We will not @.
Cellular,Request Cellular function, We will @., It does not mention whether to @, We will not @.
Cellular,Share Cellular function, We will @., It does not mention whether to @, We will not @.
IMEI,Collect IMEI, We will @., It does not mention whether to @, We will not @.
IMEI,Read IMEI, We will @., It does not mention whether to @, We will not @.
IMEI,Request IMEI, We will @., It does not mention whether to @, We will not @.
IMEI,Share IMEI, We will @., It does not mention whether to @, We will not @.
MEID,Collect MEID, We will @., It does not mention whether to @, We will not @.
MEID,Read MEID, We will @., It does not mention whether to @, We will not @.
MEID,Request MEID, We will @., It does not mention whether to @, We will not @.
MEID,Share MEID, We will @., It does not mention whether to @, We will not @.
IMSI,Collect IMSI, We will @., It does not mention whether to @, We will not @.
IMSI,Read IMSI, We will @., It does not mention whether to @, We will not @.
IMSI,Request IMSI, We will @., It does not mention whether to @, We will not @.
IMSI,Share IMSI, We will @., It does not mention whether to @, We will not @.
ICCID,Collect ICCID, We will @., It does not mention whether to @, We will not @.
ICCID,Read ICCID, We will @., It does not mention whether to @, We will not @.
ICCID,Request ICCID, We will @., It does not mention whether to @, We will not @.
ICCID,Share ICCID, We will @., It does not mention whether to @, We will not @.
Serial,Collect Serial, We will @., It does not mention whether to @, We will not @.
Serial,Read Serial, We will @., It does not mention whether to @, We will not @.
Serial,Request Serial, We will @., It does not mention whether to @, We will not @.
Serial,Share Serial, We will @., It does not mention whether to @, We will not @.
Serial,Collect Device identifier, We will @., It does not mention whether to @, We will not @.
Serial,Read Device identifier, We will @., It does not mention whether to @, We will not @.
Serial,Request Device identifier, We will @., It does not mention whether to @, We will not @.
Serial,Share Device identifier, We will @., It does not mention whether to @, We will not @.
SIM,Collect SIM card information, We will @., It does not mention whether to @, We will not @.
SIM,Read SIM card information, We will @., It does not mention whether to @, We will not @.
SIM,Request SIM card information, We will @., It does not mention whether to @, We will not @.
SIM,Share SIM card information, We will @., It does not mention whether to @, We will not @.
SMS,Read SMS, We will @., It does not mention whether to @, We will not @.
SMS,Send SMS, We will @., It does not mention whether to @, We will not @.
SMS,Share SMS, We will @., It does not mention whether to @, We will not @.
Message,Read Message, We will @., It does not mention whether to @, We will not @.
Message,Send Message, We will @., It does not mention whether to @, We will not @.
Message,Share Message, We will @., It does not mention whether to @, We will not @.
Phone number,Collect Phone number, We will @., It does not mention whether to @, We will not @.
Phone number,Read Phone number, We will @., It does not mention whether to @, We will not @.
Phone number,Request Phone number, We will @., It does not mention whether to @, We will not @.
Phone number,Share Phone number, We will @., It does not mention whether to @, We will not @.
SSID,Collect SSID, We will @., It does not mention whether to @, We will not @.
SSID,Read SSID, We will @., It does not mention whether to @, We will not @.
SSID,Request SSID, We will @., It does not mention whether to @, We will not @.
SSID,Share SSID, We will @., It does not mention whether to @, We will not @.
BSSID,Collect BSSID, We will @., It does not mention whether to @, We will not @.
BSSID,Read BSSID, We will @., It does not mention whether to @, We will not @.
BSSID,Request BSSID, We will @., It does not mention whether to @, We will not @.
BSSID,Share BSSID, We will @., It does not mention whether to @, We will not @.
Phone call,Make Phone call, We will @., It does not mention whether to @, We will not @.
Phone call,Share Phone call, We will @., It does not mention whether to @, We will not @.
Storage,Read Storage, We will @., It does not mention whether to @, We will not @.
Storage,Write Storage, We will @., It does not mention whether to @, We will not @.
Storage,Share Storage, We will @., It does not mention whether to @, We will not @.
SD card (R),Read SD card , We will @., It does not mention whether to @, We will not @.
SD card (W),Write SD card , We will @., It does not mention whether to @, We will not @.
