id,class,method,signature,sink,type,level,info,feature
1,java.net.URL,openConnection ,Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;,Argument(0),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
2,java.net.URL,openConnection,Ljava/net/URL;.openConnection:(Ljava/net/Proxy;)Ljava/net/URLConnection;,Argument(0),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
3,java.net.HttpURLConnection,init,Ljava/net/HttpURLConnection;.<init>:(Ljava/net/URL;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
4,org.apache.http.client.methods.HttpGet,init,Lorg/apache/http/client/methods/HttpGet;.<init>:(Ljava/net/URL;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
5,org.apache.http.client.methods.HttpGet,init,Lorg/apache/http/client/methods/HttpGet;.<init>:(Ljava/lang/String;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
6,org.apache.http.client.methods.HttpGet,setParams,Lorg/apache/http/client/methods/HttpGet;.setParams:(Lorg/apache/http/params/HttpParams;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
7,org.apache.http.client.methods.HttpPost,init,Lorg/apache/http/client/methods/HttpPost;.<init>:(Ljava/net/URL;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
8,org.apache.http.client.methods.HttpPost,init,Lorg/apache/http/client/methods/HttpPost;.<init>:(Ljava/lang/String;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
9,org.apache.http.client.methods.HttpPost,setParams,Lorg/apache/http/client/methods/HttpPost;.setParams:(Lorg/apache/http/params/HttpParams;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
10,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
11,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Lorg/android/spdy/RequestPriority;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
12,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Lorg/android/spdy/RequestPriority;II)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
13,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;ILjava/lang/String;Lorg/android/spdy/RequestPriority;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
14,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;Lorg/android/spdy/RequestPriority;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
15,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;Lorg/android/spdy/RequestPriority;II)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
16,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;ILjava/lang/String;ILjava/lang/String;Lorg/android/spdy/RequestPriority;III)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
17,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;ILjava/lang/String;Lorg/android/spdy/RequestPriority;III)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
18,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;Lorg/android/spdy/RequestPriority;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
19,org.android.spdy.SpdyRequest,init,Lorg/android/spdy/SpdyRequest;.<init>:(Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Url
20,org.apache.http.client.methods.HttpGet,addHeader,Lorg/apache/http/client/methods/HttpGet;.addHeader:(Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
21,org.apache.http.client.methods.HttpGet,addHeader,Lorg/apache/http/client/methods/HttpGet;.addHeader:(Ljava/lang/String;Ljava/lang/String;)V,Argument(2),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
22,org.apache.http.client.methods.HttpGet,setHeaders,Lorg/apache/http/client/methods/HttpGet;.setHeaders:([Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
23,org.apache.http.client.methods.HttpGet,setHeader,Lorg/apache/http/client/methods/HttpGet;.setHeader:(Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
24,org.apache.http.client.methods.HttpGet,setHeader,Lorg/apache/http/client/methods/HttpGet;.setHeader:(Ljava/lang/String;Ljava/lang/String;)V,Argument(2),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
25,org.apache.http.client.methods.HttpPost,addHeader,Lorg/apache/http/client/methods/HttpPost;.addHeader:(Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
26,org.apache.http.client.methods.HttpPost,addHeader,Lorg/apache/http/client/methods/HttpPost;.addHeader:(Ljava/lang/String;Ljava/lang/String;)V,Argument(2),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
27,org.apache.http.client.methods.HttpPost,setHeaders,Lorg/apache/http/client/methods/HttpPost;.setHeaders:([Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
28,org.apache.http.client.methods.HttpPost,setHeader,Lorg/apache/http/client/methods/HttpPost;.setHeader:(Lorg/apache/http/Header;)V,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
29,org.apache.http.client.methods.HttpPost,setHeader,Lorg/apache/http/client/methods/HttpPost;.setHeader:(Ljava/lang/String;Ljava/lang/String;)V,Argument(2),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
30,org.apache.http.params.HttpParams,setParameter,Lorg/apache/http/params/HttpParams;.setParameter:(Ljava/lang/String;Ljava/lang/Object;)Lorg/apache/http/params/HttpParams;,Argument(1),func,,The app captures sensitive user data and uploads it via the web (http/https),NetworkTransfer_Header
