id,privacy_api_class,privacy_api_method,privacy_api,description
1,Get Sensor,18,,Allows an application  to recognize physical activity
2,Get Sensor,19,,Allows an application  to recognize physical activity
3,Get Sensor,21,,"Allows an application  to access data from sensors that the user uses to measure what is happening  inside his/her body, such as heart rate"
4,android.os.Build,getSerial,Landroid/os/Build;.getSerial:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
5,android.os.Build,SERIAL,Landroid/os/Build;.SERIAL:Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
6,android.bluetooth.BluetoothAdapter.LeScanCallback,*,,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
7,android.net.wifi.aware.WifiAwareManager,init,Landroid/net/wifi/aware/WifiAwareManager;.<init>:()V,
8,android.net.wifi.aware.WifiAwareManager,attach,Landroid/net/wifi/aware/WifiAwareManager;.attach:(Landroid/net/wifi/aware/AttachCallback;Landroid/net/wifi/aware/IdentityChangedListener;Landroid/os/Handler;)V,
9,android.net.wifi.aware.WifiAwareManager,attach,Landroid/net/wifi/aware/WifiAwareManager;.attach:(Landroid/net/wifi/aware/AttachCallback;Landroid/os/Handler;)V,
10,android.net.wifi.aware.WifiAwareManager,getCharacteristics,Landroid/net/wifi/aware/WifiAwareManager;.getCharacteristics:()Landroid/net/wifi/aware/Characteristics;,
11,android.net.wifi.aware.WifiAwareManager,isAvailable,Landroid/net/wifi/aware/WifiAwareManager;.isAvailable:()Z,
12,android.net.wifi.p2p.WifiP2pManager,init,Landroid/net/wifi/p2p/WifiP2pManager;.<init>:()V,
13,android.net.wifi.p2p.WifiP2pManager,addLocalService,Landroid/net/wifi/p2p/WifiP2pManager;.addLocalService:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/nsd/WifiP2pServiceInfo;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
14,android.net.wifi.p2p.WifiP2pManager,addServiceRequest,Landroid/net/wifi/p2p/WifiP2pManager;.addServiceRequest:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/nsd/WifiP2pServiceRequest;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
15,android.net.wifi.p2p.WifiP2pManager,cancelConnect,Landroid/net/wifi/p2p/WifiP2pManager;.cancelConnect:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
16,android.net.wifi.p2p.WifiP2pManager,clearLocalServices,Landroid/net/wifi/p2p/WifiP2pManager;.clearLocalServices:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
17,android.net.wifi.p2p.WifiP2pManager,clearServiceRequests,Landroid/net/wifi/p2p/WifiP2pManager;.clearServiceRequests:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
18,android.net.wifi.p2p.WifiP2pManager,connect,Landroid/net/wifi/p2p/WifiP2pManager;.connect:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pConfig;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
19,android.net.wifi.p2p.WifiP2pManager,createGroup,Landroid/net/wifi/p2p/WifiP2pManager;.createGroup:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pConfig;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
20,android.net.wifi.p2p.WifiP2pManager,createGroup,Landroid/net/wifi/p2p/WifiP2pManager;.createGroup:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
21,android.net.wifi.p2p.WifiP2pManager,discoverPeers,Landroid/net/wifi/p2p/WifiP2pManager;.discoverPeers:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
22,android.net.wifi.p2p.WifiP2pManager,discoverServices,Landroid/net/wifi/p2p/WifiP2pManager;.discoverServices:(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,
23,android.net.wifi.p2p.WifiP2pManager,initialize,Landroid/net/wifi/p2p/WifiP2pManager;.initialize:(Landroid/content/Context;Landroid/os/Looper;Landroid/net/wifi/p2p/WifiP2pManager$ChannelListener;)Landroid/net/wifi/p2p/WifiP2pManager$Channel;,
